
"12","Coca-cola","1","1.5","58420","0"
"6","Agua c gas","1","1.2","58420","0"
"4","Sumo lata","1","1.5","4290","0"
"5","Agua 33cl","1","1","4290","0"
"12","Coca-cola","1","1.5","11548","0","Sat Aug 05 2023 15:07:15 GMT+0100 (Hora de verão da Europa Ocidental)"
"13","Ice-tea","1","1.5","29501","0","Thu Aug 10 2023 22:07:53 GMT+0100 (Hora de verão da Europa Ocidental)"
"13","Ice-tea","1","1.5","44931","0","Thu Aug 10 2023 22:07:55 GMT+0100 (Hora de verão da Europa Ocidental)"
"9","Copo vinho plastico","1","1","47240","0","Thu Aug 10 2023 22:07:58 GMT+0100 (Hora de verão da Europa Ocidental)"
"13","Ice-tea","1","1.5","34","0","Thu Aug 10 2023 22:08:09 GMT+0100 (Hora de verão da Europa Ocidental)"
"9","Copo vinho plastico","1","1","34","0","Thu Aug 10 2023 22:08:09 GMT+0100 (Hora de verão da Europa Ocidental)"
"13","Ice-tea","1","1.5","70416","0","Thu Aug 10 2023 22:08:14 GMT+0100 (Hora de verão da Europa Ocidental)"
"13","Ice-tea","1","1.5","67611","0","Thu Aug 10 2023 22:08:16 GMT+0100 (Hora de verão da Europa Ocidental)"
"4","Sumo lata","1","1.5","56345","0","0","Fri Aug 11 2023 18:35:14 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","13510","0","0","Fri Aug 11 2023 18:40:14 GMT+0100 (Hora de verão da Europa Ocidental)"
"4","Sumo lata","1","1.5","13510","0","0","Fri Aug 11 2023 18:40:14 GMT+0100 (Hora de verão da Europa Ocidental)"
"1","Fino","1","1","13510","0","0","Fri Aug 11 2023 18:40:14 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","60098","0","0","Fri Aug 11 2023 18:40:56 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","96924","0","0","Fri Aug 11 2023 18:41:02 GMT+0100 (Hora de verão da Europa Ocidental)"
"4","Sumo lata","2","3","76041","1","0","Fri Aug 11 2023 18:41:16 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","76041","1","0","Fri Aug 11 2023 18:41:16 GMT+0100 (Hora de verão da Europa Ocidental)"
"4","Sumo lata","2","3","49682","0","0","Fri Aug 11 2023 18:41:21 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","49682","0","0","Fri Aug 11 2023 18:41:21 GMT+0100 (Hora de verão da Europa Ocidental)"
"5","Agua peq.","2","2","35780","0","0","Fri Aug 11 2023 18:42:22 GMT+0100 (Hora de verão da Europa Ocidental)"
"4","Sumo lata","2","3","35780","0","0","Fri Aug 11 2023 18:42:22 GMT+0100 (Hora de verão da Europa Ocidental)"
"8","Café","3","2.4000000000000004","76586","1","0","Fri Aug 11 2023 23:01:01 GMT+0100 (Hora de verão da Europa Ocidental)"
"7","Copo vinho","3","3","76586","1","0","Fri Aug 11 2023 23:01:01 GMT+0100 (Hora de verão da Europa Ocidental)"
"8","Café","2","1.6","84084","1","0","Fri Aug 11 2023 23:01:40 GMT+0100 (Hora de verão da Europa Ocidental)"
"7","Copo vinho","2","2","84084","1","0","Fri Aug 11 2023 23:01:40 GMT+0100 (Hora de verão da Europa Ocidental)"
"8","Café","2","1.6","27987","1","0","Fri Aug 11 2023 23:02:28 GMT+0100 (Hora de verão da Europa Ocidental)"
